dataset,model,method,modules,rank,time,gpu,loss,f1,accuracy,pst_dataset
EN,qwen3,QLoRA fp4,q+k+v,8,5.34757702,2.966421604,0.443934441,0.899588511,0.899868421,1500
EN,qwen3,QLoRA fp4,q+k+v,16,5.346155969,2.988104343,0.419871897,0.905156132,0.905394737,1500
EN,qwen3,QLoRA fp4,q+k+v,32,5.357253929,3.036840916,0.389846385,0.91012986,0.910394737,1500
EN,qwen3,QLoRA fp4,q+k+v+o,4,5.59665006,3.125101566,0.450883329,0.895444365,0.895789474,1500
EN,qwen3,QLoRA fp4,q+k+v+o,8,5.584205182,3.145281315,0.431842029,0.902910914,0.903157895,1500
EN,qwen3,QLoRA fp4,q+k+v+o,16,5.548710076,3.173433781,0.409223855,0.909740148,0.91,1500
EN,qwen3,QLoRA fp4,q+k+v+o,32,5.593556015,3.239992619,0.382677823,0.915796384,0.915921053,1500
EN,qwen3,baseline,,,1.225227404,3.479290485,1.166992188,0.549788795,0.549210526,300
EN,qwen3,LoRA,q+v,4,1.795865186,3.047973156,0.74609375,0.731069988,0.732105263,300
EN,qwen3,LoRA,q+v,8,1.781988283,3.05523634,0.500976563,0.814791935,0.815131579,300
EN,qwen3,LoRA,q+v,16,1.781126491,3.069762707,0.432128906,0.855254286,0.856184211,300
EN,qwen3,LoRA,q+v,32,1.858975327,3.098815441,0.400878906,0.884524341,0.884868421,300
EN,qwen3,LoRA,q+k+v,4,1.93154974,3.190669537,0.837890625,0.680603179,0.6825,300
EN,qwen3,LoRA,q+k+v,8,1.930523527,3.200923443,0.634277344,0.761296995,0.762236842,300
EN,qwen3,LoRA,q+k+v,16,1.9263599,3.221431255,0.478271484,0.836580076,0.837236842,300
EN,qwen3,LoRA,q+k+v,32,2.011976735,3.26244688,0.456298828,0.87090838,0.871052632,300
EN,qwen3,LoRA,q+k+v+o,4,2.072902485,3.4684062,0.607910156,0.774628358,0.775394737,300
EN,qwen3,LoRA,q+k+v+o,8,2.075458161,3.482932568,0.550292969,0.798904538,0.799605263,300
EN,qwen3,LoRA,q+k+v+o,16,2.070728441,3.511985302,0.41796875,0.85812689,0.858684211,300
EN,qwen3,LoRA,q+k+v+o,32,2.205103175,3.570090771,0.418212891,0.886278651,0.886447368,300
EN,qwen3,QLoRA nf4,q+v,4,2.349051428,2.86550045,1.190318823,0.492815948,0.494342105,300
EN,qwen3,QLoRA nf4,q+v,8,2.349997775,2.875290394,0.817211628,0.686746076,0.687894737,300
EN,qwen3,QLoRA nf4,q+v,16,2.353520513,2.891067982,0.528116047,0.806152667,0.807105263,300
EN,qwen3,QLoRA nf4,q+v,32,2.344138789,2.918716908,0.438465863,0.865355012,0.865789474,300
EN,qwen3,QLoRA nf4,q+k+v,4,2.46724087,2.957569599,1.13916564,0.525931128,0.527368421,300
EN,qwen3,QLoRA nf4,q+k+v,8,2.447548223,2.972073078,0.677574873,0.744717509,0.745789474,300
EN,qwen3,QLoRA nf4,q+k+v,16,2.440980915,2.988873005,0.50292635,0.822667812,0.823552632,300
EN,qwen3,QLoRA nf4,q+k+v,32,2.450698622,3.032238483,0.449355662,0.858554,0.859342105,300
EN,qwen3,QLoRA nf4,q+k+v+o,4,2.559902938,3.12684679,0.713915586,0.729180325,0.730526316,300
EN,qwen3,QLoRA nf4,q+k+v+o,8,2.561826642,3.146049976,0.462587386,0.834248988,0.835263158,300
EN,qwen3,QLoRA nf4,q+k+v+o,16,2.528058787,3.172249317,0.425810397,0.874350182,0.875,300
EN,qwen3,QLoRA nf4,q+k+v+o,32,2.551014181,3.236366749,0.440277696,0.890256866,0.890789474,300
EN,qwen3,QLoRA fp4,q+v,4,2.38593266,2.864471912,0.84711045,0.670076174,0.671447368,300
EN,qwen3,QLoRA fp4,q+v,8,2.402626399,2.872848988,1.130082369,0.540270204,0.543552632,300
EN,qwen3,QLoRA fp4,q+v,16,2.385647424,2.886185169,0.911554515,0.649468843,0.652368421,300
EN,qwen3,QLoRA fp4,q+v,32,2.386694992,2.919205189,0.724931359,0.719205731,0.721052632,300
EN,qwen3,QLoRA fp4,q+k+v,4,2.488073202,2.95805788,1.280975699,0.434789038,0.438026316,300
EN,qwen3,QLoRA fp4,q+k+v,8,2.486722108,2.963772297,0.908954024,0.653030024,0.654078947,300
