model,method,modules,rank,time,gpu,loss,f1,accuracy,pst_dataset
qwen2.5,LoRA,q+k+v+o,32,6.85,9.034234047,6.44140625,0.895656642,0.896052632,1500
qwen2.5,QLoRA nf4,q+v,4,9.895517417,5.225064754,0.44917205,0.848719912,0.849210526,1500
qwen2.5,QLoRA nf4,q+v,8,9.931618241,5.232991695,0.420888275,0.901115847,0.901578947,1500
qwen2.5,QLoRA nf4,q+v,16,9.937086296,5.249777794,0.421219349,0.909100438,0.909473684,1500
qwen2.5,QLoRA nf4,q+v,32,9.924468593,5.281424522,0.396546334,0.913482883,0.913815789,1500
qwen2.5,QLoRA nf4,q+k+v,4,10.17250583,5.359499931,0.400171548,0.882559469,0.883157895,1500
qwen2.5,QLoRA nf4,q+k+v,8,10.16371234,5.367419243,0.4187181,0.887675113,0.888026316,1500
qwen2.5,QLoRA nf4,q+k+v,16,10.20226556,5.387774467,0.398312658,0.902451277,0.902763158,1500
qwen2.5,QLoRA nf4,q+k+v,32,10.17840968,5.43159771,0.372055203,0.909828343,0.910131579,1500
qwen2.5,QLoRA nf4,q+k+v+o,4,10.56290578,5.487822533,0.423672199,0.898878923,0.899210526,1500
qwen2.5,QLoRA nf4,q+k+v+o,8,10.51577787,5.502028465,0.391814798,0.916349095,0.916710526,1500
qwen2.5,QLoRA nf4,q+k+v+o,16,10.51889867,5.532454491,0.366457254,0.92065996,0.920921053,1500
qwen2.5,QLoRA nf4,q+k+v+o,32,10.43968741,5.595442772,0.361969292,0.921363794,0.921578947,1500
qwen2.5,QLoRA fp4,q+v,4,10.09280762,3.672830582,0.426953584,0.867939264,0.868684211,1500
qwen2.5,QLoRA fp4,q+v,8,10.0817288,3.676741123,0.403566897,0.899774874,0.900263158,1500
qwen2.5,QLoRA fp4,q+v,16,10.05072846,3.691452026,0.419895828,0.909180455,0.909605263,1500
qwen2.5,QLoRA fp4,q+v,32,10.08015852,3.724319458,0.389940023,0.913286135,0.913552632,1500
qwen2.5,QLoRA fp4,q+k+v,4,10.32620027,3.804487705,0.397812188,0.870300479,0.871052632,1500
qwen2.5,QLoRA fp4,q+k+v,8,10.30005979,3.81470871,0.401509374,0.895140512,0.895394737,1500
qwen2.5,QLoRA fp4,q+k+v,16,10.29642135,3.832683563,0.405074924,0.905481385,0.905789474,1500
qwen2.5,QLoRA fp4,q+k+v,32,10.33443327,3.8763237,0.385376722,0.913239276,0.913552632,1500
qwen2.5,QLoRA fp4,q+k+v+o,4,10.61582017,3.936628819,0.424678177,0.902851636,0.903289474,1500
qwen2.5,QLoRA fp4,q+k+v+o,8,10.58147057,3.947853088,0.377503723,0.915097231,0.915526316,1500
qwen2.5,QLoRA fp4,q+k+v+o,16,10.58410228,3.978279114,0.369267493,0.921514237,0.921842105,1500
qwen2.5,QLoRA fp4,q+k+v+o,32,10.59457029,4.039924622,0.357227921,0.923923053,0.924210526,1500
qwen2.5,baseline,,,1.498516476,3.087872982,84.75,0.597057616,0.595833333,300
qwen2.5,LoRA,q+v,4,2.000049841,5.65179348,24.671875,0.734307391,0.736578947,300
qwen2.5,LoRA,q+v,8,2.015492368,5.655287743,1.823242188,0.509076794,0.509605263,300
qwen2.5,LoRA,q+v,16,2.024613575,5.661055565,0.821289063,0.645171633,0.645789474,300
qwen2.5,LoRA,q+v,32,2.090099053,5.679749012,0.556152344,0.759864287,0.762236842,300
